match_id,tournament,match_no,date,kickoff_source_time,kickoff_timezone,kickoff_utc,source_url,stage,group_name,team1,team2,team1_code,team2_code,team1_id,team2_id,neutral,team1_ht,team2_ht,team1_ft,team2_ft,went_extra_time,team1_et,team2_et,team1_extra_time_goals,team2_extra_time_goals,team1_final,team2_final,team1_pens,team2_pens,winner,venue
2022016,2022,16,2022-11-26,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 7,Group C,Argentina,Mexico,ARG,MEX,37,1,1,0,0,2,0,0,,,,,2,0,,,Argentina,"Lusail Iconic Stadium, Lusail"
2022021,2022,21,2022-11-26,13:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 7,Group D,Tunisia,Australia,TUN,AUS,24,15,1,0,1,0,1,0,,,,,0,1,,,Australia,"Al Janoub Stadium, Al Wakrah"
2022022,2022,22,2022-11-26,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 7,Group D,France,Denmark,FRA,DEN,33,10002,1,0,0,2,1,0,,,,,2,1,,,France,"Stadium 974, Doha"
2022027,2022,27,2022-11-27,13:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 8,Group E,Japan,Costa Rica,JPN,CRC,22,10001,1,0,0,0,1,0,,,,,0,1,,,Costa Rica,"Ahmad bin Ali Stadium, Al Rayyan"
2022028,2022,28,2022-11-27,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 8,Group E,Spain,Germany,ESP,GER,29,17,1,0,0,1,1,0,,,,,1,1,,,Draw,"Al Bayt Stadium, Al Khor"
2022033,2022,33,2022-11-27,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 8,Group F,Belgium,Morocco,BEL,MAR,25,10,1,0,0,0,2,0,,,,,0,2,,,Morocco,"Al Thumama Stadium, Doha"
2022034,2022,34,2022-11-27,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 8,Group F,Croatia,Canada,CRO,CAN,46,5,1,2,1,4,1,0,,,,,4,1,,,Croatia,"Khalifa International Stadium, Al Rayyan"
2022039,2022,39,2022-11-28,13:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 9,Group G,Cameroon,Serbia,CMR,SRB,10000,10008,1,1,2,3,3,0,,,,,3,3,,,Draw,"Al Janoub Stadium, Al Wakrah"
2022040,2022,40,2022-11-28,19:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 9,Group G,Brazil,Switzerland,BRA,SUI,9,8,1,0,0,1,0,0,,,,,1,0,,,Brazil,"Stadium 974, Doha"
2022045,2022,45,2022-11-28,16:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 9,Group H,South Korea,Ghana,KOR,GHA,3,47,1,0,2,2,3,0,,,,,2,3,,,Ghana,"Education City Stadium, Al Rayyan"
2022046,2022,46,2022-11-28,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 9,Group H,Portugal,Uruguay,POR,URU,41,32,1,0,0,2,0,0,,,,,2,0,,,Portugal,"Lusail Iconic Stadium, Lusail"
2022005,2022,5,2022-11-29,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 10,Group A,Ecuador,Senegal,ECU,SEN,20,34,1,0,1,1,2,0,,,,,1,2,,,Senegal,"Khalifa International Stadium, Al Rayyan"
2022006,2022,6,2022-11-29,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 10,Group A,Netherlands,Qatar,NED,QAT,21,7,0,1,0,2,0,0,,,,,2,0,,,Netherlands,"Al Bayt Stadium, Al Khor"
2022011,2022,11,2022-11-29,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 10,Group B,Wales,England,WAL,ENG,10009,45,1,0,0,0,3,0,,,,,0,3,,,England,"Ahmad bin Ali Stadium, Al Rayyan"
2022012,2022,12,2022-11-29,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 10,Group B,Iran,USA,IRN,USA,27,13,1,0,1,0,1,0,,,,,0,1,,,USA,"Al Thumama Stadium, Doha"
2022017,2022,17,2022-11-30,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 11,Group C,Poland,Argentina,POL,ARG,10006,37,1,0,0,0,2,0,,,,,0,2,,,Argentina,"Stadium 974, Doha"
2022018,2022,18,2022-11-30,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 11,Group C,Saudi Arabia,Mexico,KSA,MEX,31,1,1,0,0,1,2,0,,,,,1,2,,,Mexico,"Lusail Iconic Stadium, Lusail"
2022023,2022,23,2022-11-30,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 11,Group D,Australia,Denmark,AUS,DEN,15,10002,1,0,0,1,0,0,,,,,1,0,,,Australia,"Al Janoub Stadium, Al Wakrah"
2022024,2022,24,2022-11-30,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 11,Group D,Tunisia,France,TUN,FRA,24,33,1,0,0,1,0,0,,,,,1,0,,,Tunisia,"Education City Stadium, Al Rayyan"
2022029,2022,29,2022-12-01,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 12,Group E,Japan,Spain,JPN,ESP,22,29,1,0,0,2,1,0,,,,,2,1,,,Japan,"Khalifa International Stadium, Al Rayyan"
2022030,2022,30,2022-12-01,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 12,Group E,Costa Rica,Germany,CRC,GER,10001,17,1,0,1,2,4,0,,,,,2,4,,,Germany,"Al Bayt Stadium, Al Khor"
2022035,2022,35,2022-12-01,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 12,Group F,Croatia,Belgium,CRO,BEL,46,25,1,,,0,0,0,,,,,0,0,,,Draw,"Ahmad bin Ali Stadium, Al Rayyan"
2022036,2022,36,2022-12-01,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 12,Group F,Canada,Morocco,CAN,MAR,5,10,1,1,2,1,2,0,,,,,1,2,,,Morocco,"Al Thumama Stadium, Doha"
2022041,2022,41,2022-12-02,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 13,Group G,Serbia,Switzerland,SRB,SUI,10008,8,1,2,1,2,3,0,,,,,2,3,,,Switzerland,"Stadium 974, Doha"
2022042,2022,42,2022-12-02,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 13,Group G,Cameroon,Brazil,CMR,BRA,10000,9,1,0,0,1,0,0,,,,,1,0,,,Cameroon,"Lusail Iconic Stadium, Lusail"
